Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-001194,2020-01,1/7/2020 17:55,Y, , ,1, ,63701,2,LARCENY-SHOPLIFT UNDER $500,7339,GRAVOIS AVE,88,WALGREENS, ,7339,GRAVOIS,878828.2,994423.4
20-001267,2020-01,1/7/2020 18:00,Y, , ,1, ,64701,3,LARCENY-FROM MTR VEH UNDER $500,3552,GRAVOIS AVE,19, , ,3552,GRAVOIS,893516.4,1004609
20-001187,2020-01,1/7/2020 18:02,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3409,ALBERTA ST,16, , ,3409,ALBERTA,894094.9,1002119
20-001191,2020-01,1/7/2020 18:10,Y, , ,1, ,31111,2,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5012,MARDEL AVE,14, , ,5012,MARDEL,884014.1,1004870
20-001197,2020-01,1/7/2020 18:23,Y, , ,1, ,31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4430,MORGANFORD RD,5, , , , ,887434,1002819
20-001256,2020-01,1/7/2020 18:30,Y, , ,1, ,31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1430,OLIVE ST,36, ,ARCA,1430,OLIVE,905576.3,1018397
20-001265,2020-01,1/7/2020 18:30,Y, , ,1, ,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",0,GOODFELLOW BLVD / HIGHLAND AVE,50, , , , ,883917.9,1035013
20-001196,2020-01,1/7/2020 18:55,Y, , ,1, ,31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,8125,MICHIGAN AVE,2, , ,8125,BROADWAY,887214.7,987638.4
20-001193,2020-01,1/7/2020 19:05,Y, , ,1, ,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,4857,GOODFELLOW BLVD,76, , , , ,887541.6,1044249
20-001238,2020-01,1/7/2020 19:15,Y, , ,1, ,52312,2,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,5325,MANCHESTER AVE,40,@HILLSIDE ANIMAL HOSPITAL,HILLSIDE ANIMAL HOSPITAL,5325,MANCHESTER,884407.9,1016247
20-001254,2020-01,1/7/2020 19:30,Y, , ,1, ,52312,3,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,3700,MICHIGAN AVE,19,RICAHRD S AUTOMOTIVE AND TRUCK REPA, ,3700,MICHIGAN,895512.6,1003412
20-001253,2020-01,1/7/2020 20:00,Y, , ,1, ,64701,5,LARCENY-FROM MTR VEH UNDER $500,6188,MCPHERSON AVE,46, , ,6188,MCPHERSON,877325.8,1026148
20-001514,2020-01,1/7/2020 20:00,Y, , ,1, ,65701,4,LARCENY-MTR VEH PARTS UNDER $500,0,N 7TH ST / WASHINGTON AVE,35, , , , ,908628.7,1018533
20-001201,2020-01,1/7/2020 20:15,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1428,MADISON ST,63, , ,1428,MADISON,907074.9,1024064
20-001298,2020-01,1/7/2020 20:16,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4860,WABADA AVE,55, , ,4860,WABADA,890188.3,1031489
20-001299,2020-01,1/7/2020 20:16,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4834,GREER AVE,55, , ,4834,GREER,891392.4,1033167
20-001202,2020-01,1/7/2020 20:19,Y, , ,1, ,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3920,FINNEY AVE,58, , ,3920,FINNEY,895556.6,1024478
20-001209,2020-01,1/7/2020 20:30,Y, , ,1, ,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4999,LEE AVE,69, , ,4999,LEE,891910.8,1036791
20-001311,2020-01,1/7/2020 20:31,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4640,LABADIE AVE,56, , ,4638,LABIADE,892656.1,1032022
20-001205,2020-01,1/7/2020 20:40,Y, , ,1, ,91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,4879,BESSIE AVE,69, , ,4879,BESSIE,893343.9,1037005
20-001208,2020-01,1/7/2020 21:00,Y, , ,1, ,266510,1,PUBLIC ORDER-TRESPASSING,4620,S KINGSHIGHWAY BLVD,5,MCDONALDS, ,4620,KINGSHIGHWAY,884312.7,1002371
20-001312,2020-01,1/7/2020 21:30,Y, , ,1, ,65701,3,LARCENY-MTR VEH PARTS UNDER $500,3548,NEBRASKA AVE,19, , ,3548,NEBRASKA,896621.9,1004094
20-001217,2020-01,1/7/2020 21:30,Y, , ,1, ,263299,3,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,3122,MIAMI ST,19, , ,3122,MIAMI,895592.1,1004036
20-001320,2020-01,1/7/2020 21:45,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,1918,MARCUS AVE,56, , ,1918,MARCUS,891227.7,1030378
20-001210,2020-01,1/7/2020 21:59,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,CHOUTEAU AVE / S JEFFERSON AVE,32, , , , ,900655.8,1015642
20-001219,2020-01,1/7/2020 22:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4853,FARLIN AVE,69, ,APT B,4853,FARLIN,892981.9,1035737
20-001537,2020-01,1/7/2020 22:00,Y, , ,1, ,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1401,CLARK AVE,36,ENTERPRISE CENTER, , , ,905209.3,1017077
20-001243,2020-01,1/7/2020 22:00,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",1025,SPRUCE ST,35, , ,1025,SPRUCE,906589.4,1016244
20-001221,2020-01,1/7/2020 22:30,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",902,CARR ST,62, , ,902,CARR,908442.5,1020385
20-001225,2020-01,1/7/2020 22:30,Y, , ,1, ,67701,3,LARCENY-FROM BUILDING UNDER $500,3458,OHIO AVE,19,MULTI-FAMILY BUILDING, ,3458,OHIO,898014.3,1004468
20-001421,2020-01,1/7/2020 23:00,Y, , ,1, ,65701,3,LARCENY-MTR VEH PARTS UNDER $500,1034,LASALLE PARK CT,34, , ,1034,LASALLE PARK,905721.1,1013662
20-001306,2020-01,1/7/2020 23:00,Y, , ,1, ,64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",4621,KOSSUTH AVE,69, , ,4621,KOSSUTH,894750.7,1035121
20-001214,2020-01,1/7/2020 23:00,Y, , ,1, ,250000,4,LOITERING-BEGGING,721,N TUCKER BLVD,36,SHELL STATION, ,721,TUCKER,906857.6,1019492
20-001220,2020-01,1/7/2020 23:20,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,4251,DELOR ST,5, , ,4251,DELOR,887268.1,1000501
20-001222,2020-01,1/7/2020 23:25,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",1924,N VANDEVENTER AVE,59, , , , ,897205.1,1026723
20-001279,2020-01,1/7/2020 23:30,Y, , ,1, ,52312,6,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,4729,GOODFELLOW BLVD,70, , ,4729,GOODFELLOW,886999.3,1043270
20-001224,2020-01,1/7/2020 23:43,Y, , ,1, ,182130,3,DRUGS-POSSESSION/HEROIN,0,S BROADWAY / KEOKUK ST,18, , , , ,898243.1,1001816
20-001252,2020-01,1/7/2020 23:47,Y, , ,1, ,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,1440,CHOUTEAU AVE,33,CLINTON PEABODY HOUSING COMPLEX, ,1440,CHOUTEAU,904053.8,1013944
20-001259,2020-01,1/8/2020 0:01, , , ,-1, ,31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4240,DUNCAN AVE,38,METROLINK TRAIN, ,3836,CHIPPEWA,891331.9,1019990
20-001259,2020-01,1/8/2020 0:01,Y, , ,1, ,31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4240,DUNCAN AVE,38,METROLINK TRAIN, ,3836,CHIPPEWA,891331.9,1019990
20-001246,2020-01,1/8/2020 0:01,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1520,WASHINGTON AVE,36, ,221,1520,WASHINGTON,905250.6,1019322
20-001634,2020-01,1/8/2020 0:01,Y, , ,1, ,69602,4,"LARCENY-ALL OTHER $500 - $24,999",2211,MARKET ST,36, ,@HOTEL- PEAR TREE INN,2211,MARKET,902363.3,1018827
20-001405,2020-01,1/8/2020 0:01,Y, , ,1, ,204100,3,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,3547,PENNSYLVANIA AVE,19, , ,1465,GRAND,896119.2,1004233
20-001322,2020-01,1/8/2020 0:04,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4629,DR MARTIN LUTHER KING DR,56, , ,4629,DR MARTIN LUTHER KING,890903,1029257
20-001226,2020-01,1/8/2020 0:42,Y, , ,1, ,65701,6,LARCENY-MTR VEH PARTS UNDER $500,4870,NATURAL BRIDGE AVE,55, , ,4870,NATURAL BRIDGE,892094.1,1034516
20-001231,2020-01,1/8/2020 1:00,Y, , ,1, ,51212,6,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,4755,GENEVIEVE AVE,72, , ,4755,GENEVIEVE,889749.6,1041434
20-001227,2020-01,1/8/2020 1:51,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,4300,N GRAND,67, , , , ,902675.7,1032609
20-001284,2020-01,1/8/2020 2:00,Y, , ,1, ,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,5119,LEXINGTON AVE,52, , ,5119,LEXINGTON,890002.8,1035152
20-001228,2020-01,1/8/2020 3:14,Y, , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4323,N GRAND BLVD,67, ,@PNC BANK, , ,902489.9,1032480
20-001229,2020-01,1/8/2020 3:40,Y, , ,1, ,65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999",3416,COOK AVE,77, , ,3619,COOK,898208.2,1023021
20-001255,2020-01,1/8/2020 4:16,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4914,NATURAL BRIDGE AVE,55, , ,4914,NATURAL BRIDGE,891821.1,1034675
20-001232,2020-01,1/8/2020 5:10, , , ,-1, ,83000,1,ARSON-KNOWINGLY BURNING/SUCCESS,326,COURTOIS ST,2, , ,326,COURTOIS,888391.4,988238.8
20-001232,2020-01,1/8/2020 5:10,Y, , ,1, ,83000,1,ARSON-KNOWINGLY BURNING/SUCCESS,326,COURTOIS ST,2, , ,326,COURTOIS,888391.4,988238.8
20-001233,2020-01,1/8/2020 5:40,Y, , ,1, ,63701,2,LARCENY-SHOPLIFT UNDER $500,3920,HAMPTON AVE,14,WALGREENS,WALGREENS,3920,HAMPTON,879176.4,1005385
20-002423,2020-01,1/8/2020 5:40,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3920,HAMPTON AVE,14,WALGREENS, ,3920,HAMPTON,879176.4,1005385
20-001242,2020-01,1/8/2020 6:00,Y, , ,1, ,64701,2,LARCENY-FROM MTR VEH UNDER $500,3815,MAGNOLIA AVE,27, , ,3815,MAGNOLIA,893093.8,1010375
20-002303,2020-01,1/8/2020 6:30,Y, , ,1, ,69702,1,LARCENY-ALL OTHER UNDER $500,4466,DELOR ST,5, , ,4466,DELOR,885293.1,1001029
20-001241,2020-01,1/8/2020 7:24,Y, , ,1, ,63701,4,LARCENY-SHOPLIFT UNDER $500,721,N TUCKER BLVD,36, ,SHELL GAS STATION,721,TUCKER,906857.6,1019492
20-001240,2020-01,1/8/2020 7:30,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,I 55 NORTHBOUND / SIDNEY ST,21, , , , ,901953.7,1008499
20-001244,2020-01,1/8/2020 7:40,Y, , ,1, ,31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3040,DELMAR BLVD,37, , ,2940,DELMAR,899687.4,1021423
20-001247,2020-01,1/8/2020 7:50,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,I 44 WESTBOUND / WASHINGTON AV,35, , , , ,909886.5,1018271
20-002485,2020-01,1/8/2020 8:00,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,6942,IDAHO AVE,1, , ,6942,IDAHO,888993.9,991150.7
20-001338,2020-01,1/8/2020 8:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5070,DAVISON AVE,72, , ,5070,DAVISON,891730.6,1041810
20-001874,2020-01,1/8/2020 8:30,Y, , ,1, ,51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4251,GERTRUDE AVE,5, , ,4251,GERTRUDE,886693.6,999017.8
20-001355,2020-01,1/8/2020 9:00,Y, , ,1, ,67601,6,"LARCENY-FROM BUILDING $500 - $24,999",4979,NATURAL BRIDGE AVE,69,MC DONALD S, ,4979,NATURAL BRIDGE,891403.6,1035206
20-001498,2020-01,1/8/2020 9:00,Y, , ,1, ,67701,5,LARCENY-FROM BUILDING UNDER $500,2601,WHITTIER ST,57, , ,2601,WHITTIER,895657.7,1028977
20-001260,2020-01,1/8/2020 9:00,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,4700,GOODFELLOW BLVD,70, , ,4700,GOODFELLOW,887587.3,1042756
20-001283,2020-01,1/8/2020 9:30,Y, , ,1, ,182400,6,DRUGS-POSSESSION/MARIJUANA,4837,SACRAMENTO AVE,69, , ,4837,SACRAMENTO,892657.4,1034817
20-001262,2020-01,1/8/2020 9:32,Y, , ,1, ,64711,1,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4929,SUTHERLAND AVE,7, , ,4929,SUTHERLAND,884138.4,1003396
20-001304,2020-01,1/8/2020 9:35,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4118,N 22ND ST,65, , ,4118,22ND,903452.4,1030902
20-001972,2020-01,1/8/2020 10:00,Y, , ,1, ,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4157,JUNIATA ST,15, ,2F/2ND FLR,4157,JUNIATA,889538.9,1008298
20-001273,2020-01,1/8/2020 10:00,Y, , ,1, ,63701,6,LARCENY-SHOPLIFT UNDER $500,4447,NATURAL BRIDGE AVE,69, , ,4447,NATURAL BRIDGE,894946.5,1033224
20-001275,2020-01,1/8/2020 10:00,Y, , ,1, ,91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5249,WREN AVE,72, , ,5249,WREN,891217.1,1043721
20-001266,2020-01,1/8/2020 10:05,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,7057,CHIPPEWA ST,8, , , , ,872714.9,1002363
20-001270,2020-01,1/8/2020 10:08,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,4026,N 23RD ST,65, , ,4030,23RD,903299.2,1030362
20-001274,2020-01,1/8/2020 10:12,Y, , ,1, ,182400,3,DRUGS-POSSESSION/MARIJUANA,3238,CALIFORNIA AVE,30, ,IN THE STREET, , ,897576.3,1006028
20-001285,2020-01,1/8/2020 10:14,Y, , ,1, ,182400,6,DRUGS-POSSESSION/MARIJUANA,4265,ATHLONE AVE,68, ,@SCHOOL - YEATMAN,4265,ATHLONE,897803.3,1034677
20-001268,2020-01,1/8/2020 10:15,Y, , ,1, ,63601,5,"LARCENY-SHOPLIFT $500 - $24,999",3925,LINDELL BLVD,38,CVS PHARMACY, ,3925,LINDELL,894199,1021580
20-001372,2020-01,1/8/2020 10:30,Y, , ,1, ,91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,4504,ARSENAL ST,15, , ,3157,SUBLETTE,887375.2,1009106
20-001272,2020-01,1/8/2020 10:32,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,0,N FLORISSANT AVE / HEBERT ST,60, , , , ,905163.4,1027485
20-001859,2020-01,1/8/2020 10:37,Y, , ,1, ,69702,1,LARCENY-ALL OTHER UNDER $500,4465,WALLACE AVE,5, , ,4465,WALLACE,885456.5,1001494
20-001278,2020-01,1/8/2020 10:40,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,N BROADWAY / I 70 EASTBOUND,62, ,ALIAS I 70 EB/BROADWAY, , ,909771.3,1021248
20-001282,2020-01,1/8/2020 11:14,Y, , ,1, ,63701,4,LARCENY-SHOPLIFT UNDER $500,315,N 9TH ST,35,SCHNUCKS CULLINARIA,@SCHNUCKS - CULINARIA, , ,907779.2,1018012
20-001562,2020-01,1/8/2020 11:30,Y, , ,1, ,91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,6651,W PARK AVE,44, , ,6651,PARK,877500.8,1017484
20-001291,2020-01,1/8/2020 11:30,Y, , ,1, ,263299,6,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,4882,FARLIN AVE,69, , ,4887,FARLIN,892602.8,1035739
20-001290,2020-01,1/8/2020 11:45,Y, , ,1, ,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4146,FINNEY AVE,58, , ,4146,FINNEY,893997.8,1025393
20-001296,2020-01,1/8/2020 11:50,Y, , ,1, ,151130,5,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,1620,UNION BLVD,52, , ,1620,UNION,886883.8,1031770
20-001303,2020-01,1/8/2020 12:45,Y, , ,1, ,115200,1,FRAUD-STEALING BY DECEIT/UNDER $150,4550,VIRGINIA AVE,16,DUTCHTOWN NEIGHBORHOOD, ,4550,VIRGINIA,893732.5,997867.1
20-001305,2020-01,1/8/2020 12:59,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,8745,ORIOLE AVE,74, , ,8745,ORIOLE,894633.6,1049616
20-001321,2020-01,1/8/2020 13:00,Y, , ,1, ,63701,3,LARCENY-SHOPLIFT UNDER $500,3427,S JEFFERSON AVE,19,SAVE-A-LOT, ,3427,JEFFERSON,898497.9,1004658
20-001302,2020-01,1/8/2020 13:00,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,4014,UNION BLVD,70, ,@NPD,4014,UNION,890074.4,1037079
20-001300,2020-01,1/8/2020 13:10,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,300,S 18TH ST,36,UNION STATION PLATFORM,@METROLINK - UNION STATION,300,18TH,903924.3,1017158
20-001328,2020-01,1/8/2020 13:15,Y, , ,1, ,41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,8129,REILLY AVE,2, ,RIVERSIDE DINER,8129,REILLY,888854.3,986068.9
20-001328,2020-01,1/8/2020 13:15,Y, , ,1, ,41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,8129,REILLY AVE,2, ,RIVERSIDE DINER,8129,REILLY,888854.3,986068.9
20-001315,2020-01,1/8/2020 13:21,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,N 14TH ST / PINE ST,36, , , , ,905747.5,1018270
20-001347,2020-01,1/8/2020 13:40,Y, , ,1, ,33112,2,ROBBERY-BANK        /FIREARM USED/ATTEMPT,4435,CHIPPEWA ST,15, ,#1151096,4435,CHIPPEWA,886488.3,1004223
20-001341,2020-01,1/8/2020 13:54,Y, , ,1, ,182250,1,DRUGS-POSSESSION/COCAINE,6300,S BROADWAY,1, , , , ,892557.1,991710.8
20-001414,2020-01,1/8/2020 14:00,Y, , ,1, ,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3009,PENNSYLVANIA AVE,25, ,@GRANT SCHOOL APT 205,3009,PENNSYLVANIA,896671.4,1008122
20-001345,2020-01,1/8/2020 14:00,Y, , ,1, ,64701,1,LARCENY-FROM MTR VEH UNDER $500,4324,VIRGINIA AVE,16, ,REAR,4324,VIRGINIA,894148.3,999382.9
20-001500,2020-01,1/8/2020 14:00,Y, , ,1, ,69702,2,LARCENY-ALL OTHER UNDER $500,6642,VILLA AVE,44, , ,6642,VILLA,877338.9,1016624
20-001340,2020-01,1/8/2020 14:00,Y, , ,1, ,266510,5,PUBLIC ORDER-TRESPASSING,731,HODIAMONT AVE,48, ,@METROLINK - DELMAR,731,HODIAMONT,878834.8,1027680
20-002096,2020-01,1/8/2020 14:00,Y, , ,1, ,52312,2,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,3919,MAGNOLIA AVE,27, , ,3919,MAGNOLIA,892437.6,1010455
20-002168,2020-01,1/8/2020 14:00,Y, , ,1, ,51112,6,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,4313,SHREVE AVE,69, , ,4313,SHREVE,894219.6,1036977
20-001333,2020-01,1/8/2020 14:10,Y, , ,1, ,182260,4,DRUGS-POSSESSION/METHAMPHETAMINE,0,N 11TH ST / FERRY ST,65, , , , ,905390.5,1032290
20-001335,2020-01,1/8/2020 14:21,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,6515,MANCHESTER AVE,43, , ,6515,MANCHESTER,877902.9,1014783
20-001344,2020-01,1/8/2020 14:23,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,6118,W PARK AVE,42, , ,6118,PARK,880784.9,1017037
20-002291,2020-01,1/8/2020 14:30,Y, , ,1, ,103000,1,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,6329,MINNESOTA AVE,1,CLADDAGH CARRIAGE COMPANY LLC,CLADDAGH CARRIAGE COMPANY LLC,6329,MINNESOTA,891671.8,992008.6
20-001371,2020-01,1/8/2020 14:30,Y, , ,1, ,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",1,FINE ARTS DR,82, , ,1,FINE ARTS,878856.8,1021748
20-001343,2020-01,1/8/2020 14:53,Y, , ,1, ,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,1100,WASHINGTON AVE,35, , , , ,907252.9,1018795
20-001354,2020-01,1/8/2020 14:58,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,S 7TH ST / I 55 SOUTHBOUND,20, , , , ,906811.3,1012468
20-002274,2020-01,1/8/2020 15:00,Y, , ,1, ,69702,6,LARCENY-ALL OTHER UNDER $500,4234,DESOTO AVE,67, , ,4234,DESOTO,901022.5,1032758
20-001351,2020-01,1/8/2020 15:00,Y, , ,1, ,71040,1,AUTO THEFT-PERM RETNT/ATTEMPT,4987,BLOW ST,6, , ,4983,BLOW,880544,996633
20-001363,2020-01,1/8/2020 15:22,Y, , ,1, ,182999,1,DRUGS-POSSESSION/OTHR UNSPEC DRUG,4507,LOUISIANA AVE,16, , ,4507,LOUISIANA,893107.4,998880.6
20-001348,2020-01,1/8/2020 15:39,Y, , ,1, ,151130,0,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,9250,SUNDOWN DR,0,SUSPECTS APARTMENT, ,5345,KINGSHIGHWAY,894140.6,1052438
20-001636,2020-01,1/8/2020 15:44,Y, , ,1, ,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,GERALDINE AVE / THEKLA AVE,71, , , , ,893246.1,1040617
20-001378,2020-01,1/8/2020 16:03,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,0,CHIPPEWA ST / S. KINGSHIGHWAY,5, , , , ,0,0
20-001394,2020-01,1/8/2020 16:05,Y, , ,1, ,64601,1,"LARCENY-FROM MTR VEH $500 - $24,999",4660,CHIPPEWA ST,5, , ,4660,CHIPPEWA,885362.3,1003846
20-001357,2020-01,1/8/2020 16:21,Y, , ,1, ,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,4500,N BROADWAY,64, , , , ,905164,1033720
20-001380,2020-01,1/8/2020 17:00,Y, , ,1, ,91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,2,MARYLAND PLZ,38, ,BLUEMERCURY,2,MARYLAND,888340.1,1023682
20-001720,2020-01,1/8/2020 17:00,Y, , ,1, ,69702,1,LARCENY-ALL OTHER UNDER $500,120,BELLERIVE BLVD,1, , ,120,BELLERIVE,893562.9,993303.9
20-001685,2020-01,1/8/2020 17:00,Y, , ,1, ,52322,4,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,1009,LOCUST ST,35, ,@URBAN SHARK,1009,LOCUST,907474.3,1018445
20-001373,2020-01,1/8/2020 17:08,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,CALIFORNIA AVE / PARK AVE,31, , , , ,898934,1014385
20-001367,2020-01,1/8/2020 17:10,Y, , ,1, ,250000,4,LOITERING-BEGGING,0,CONVENTION PZ / N TUCKER BLVD,35, , , , ,906992.1,1019584
20-001382,2020-01,1/8/2020 17:30,Y, , ,1, ,182400,4,DRUGS-POSSESSION/MARIJUANA,1401,CLARK AVE,36,ENTERPRISE CENTER,@ENTERPRISE CENTER,1401,CLARK,905209.3,1017077
20-001375,2020-01,1/8/2020 17:31,Y, , ,1, ,250000,4,LOITERING-BEGGING,1100,WASHINGTON AVE,35, , , , ,907252.9,1018795
20-002477,2020-01,1/8/2020 17:50,Y, , ,1, ,65701,1,LARCENY-MTR VEH PARTS UNDER $500,4927,S KINGSHIGHWAY BLVD,7,ENTERPRISE RENT-A-CAR, ,4927,KINGSHIGHWAY,884071.6,1001923
20-001381,2020-01,1/8/2020 17:55,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,I 55 NORTHBOUND / SIDNEY ST,21, , , , ,901953.7,1008499
20-001384,2020-01,1/8/2020 17:58,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,I 70 EASTBOUND / MADISON ST,63, ,ALIAS EB 70/SALISBURY ST CITY, , ,908414.9,1024600
20-001503,2020-01,1/8/2020 18:00,Y, , ,1, ,64701,6,LARCENY-FROM MTR VEH UNDER $500,4424,CLARENCE AVE,68, , ,4424,CLARENCE,897687.4,1035595
20-001389,2020-01,1/8/2020 18:00,Y, , ,1, ,63701,3,LARCENY-SHOPLIFT UNDER $500,3430,S GRAND BLVD,25,SCHNUCKS, ,3430,GRAND,893788.8,1005469
20-001407,2020-01,1/8/2020 18:00,Y, , ,1, ,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1380,GRANVILLE PL,78, , ,1380,GRANVILLE,884370,1031264
20-001383,2020-01,1/8/2020 18:02,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,4674,LEE AVE,69, , ,4674,LEE,894323.4,1035517
20-001388,2020-01,1/8/2020 18:20,Y, , ,1, ,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2834,OSAGE ST,16, , ,2834,OSAGE,896335.7,1001243
20-001395,2020-01,1/8/2020 18:24,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,1129,MACKLIND AVE,41, , ,1129,MACKLIND,884313.1,1017359
